Features	SFB001_1	SFB002_1	SFB007_1	SFB013_1	SFB016_1	SFB017_1	SFB018_1	SFB019_1	SFB020_1	SFB021_1	SFB024_1	SFB025_1	SFB026_1	SFB029_1	SFB031_1	SFB032_1	SFB045_1	SFB046_1	SFB053_1	SFB054_1	SFB055_1	SFB058_1	SFB059_1	SFB062_1	SFB063_1	SFB065_1	SFB066_1	SFB068_1	SFB072_1	SFB073_1	SFB074_1	SFB076_1	SFB077_1	SFB078_1	SFB079_1	SFB080_1	SFB081_1	SFB082_1	SFB083_1	SFB085_1	SFB086_1	SFB091_1	SFB093_1	SFB096_1	SFB097_1	SFB099_1	SFB101_1	SFB102_1	SFB103_1	SFB105_1	SFB107_1	SFB109_1	SFB110_1	SFB113_1	SFB114_1	SFB115_1	SFB121_1	SFB123_1	SFB124_1	SFB127_1	SFB130_1	SFB132_1	SFB133_1	SFB003_1	SFB004_1	SFB008_1	SFB087_1	SFB090_1	SFB106_1	SFB112_1	SFB118_1	SFB119_1	SFB120_1	SFB122_1	SFB125_1	SFB126_1	SFB129_1
GenusDelta_Oscillibacter	-43	-10	0	37	-4	-2	0	24	-33	-2	10	-3	7	0	0	18	-1	-2	11	33	2	13	-16	142	2	0	18	3	3	0	0	-16	-18	0	-4	0	-6	-69	5	-12	-1	2	-68	-28	0	12	0	-90	-27	-25	-6	62	-64	71	59	27	9	-15	-9	-21	-5	-45	-43	174	-9	-148	-98	49	8	12	36	409	0	-1	11	-1	-13
GenusDelta_Oscillospiraceae_Incertae_Sedis	-39	-3	0	-23	0	-38	0	-10	-10	10	2	-10	10	-128	0	-37	0	-13	4	-1	11	3	0	-22	-31	0	9	8	0	2	0	-83	0	0	0	0	-1	-36	0	7	0	0	22	-15	0	9	0	-6	-11	-38	-1	0	46	2	5	0	-24	34	-8	-82	16	31	-1	71	-19	-2	-55	14	-26	-8	-79	-50	0	26	-13	-12	7
GenusDelta_Oscillospiraceae_NK4A214_group	0	0	-14	-9	-64	-74	0	749	-26	-18	-16	-6	122	0	0	-14	127	-12	50	-53	0	26	0	54	-77	0	0	0	-15	1	0	-143	-59	0	0	0	0	46	-28	-22	2	0	25	0	0	0	0	-172	-192	-21	0	43	-26	0	-38	0	202	-24	10	-154	0	-22	4	0	-33	5	8	-27	20	-48	48	0	73	22	-9	0	88
GenusDelta_Oscillospiraceae_UCG_002	-67	0	-3	-3	-262	-58	1	-147	-170	-59	-37	-1	666	0	0	-166	764	-103	-225	-586	0	291	-73	496	-1322	0	0	0	494	1087	0	-847	-466	0	0	-2	-37	-301	-278	232	89	0	-258	-138	0	6	0	-35	-157	-286	-18	242	-107	-42	758	0	-206	-117	26	25	-30	-338	87	0	81	113	75	30	-2	-96	219	265	294	-234	3	11	392
GenusDelta_Oscillospiraceae_UCG_003	-4	0	-10	20	-122	0	0	-4	-33	-39	5	-3	9	0	0	8	-9	-11	-97	-60	0	-2	0	11	-93	0	1	0	-5	15	0	-23	-12	0	0	0	-4	30	-8	-49	23	0	-2	-11	21	0	0	10	-72	-17	-4	42	-17	101	-20	0	-34	-16	17	-6	2	15	-1	-9	-48	0	53	-6	2	0	37	0	0	-137	3	15	163
GenusDelta_Oscillospiraceae_UCG_005	-12	0	-4	-65	-169	-88	0	73	-63	-34	3	0	109	0	0	-96	286	-4	121	-29	0	29	0	81	-293	0	0	0	79	181	0	-33	-163	0	0	0	0	16	-45	-123	-211	0	-5	-6	0	0	0	-21	-45	-95	-6	-4	14	0	49	0	-12	-128	-31	-69	-26	-11	-5	0	-207	41	0	-37	-23	-108	34	0	14	-172	1	-37	43
GenusDelta_Oscillospiraceae_unclassified	0	0	0	3	0	0	0	0	0	0	0	0	44	0	0	2	0	0	0	0	0	0	0	1	-15	0	0	0	98	38	0	0	0	0	0	0	0	0	0	3	-1	0	-1	0	0	0	0	-112	-2	-2	0	-6	0	0	3	0	0	-2	0	0	0	-23	0	0	0	0	-10	0	3	-1	80	0	5	1	0	0	-5
GenusDelta_Oscillospirales_Incertae_Sedis	0	0	0	7	4	-2	0	-2	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	-4	7	0	0	0	-4	-2	0	0	-6	0	0	0	0	-1	-1	0	2	0	-4	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-2	0	-5	0	0	0	0	0	1
GenusDelta_Oscillospirales_UCG_010_Incertae_Sedis	0	0	0	0	-13	-166	0	0	0	-38	0	0	99	0	0	-17	37	0	51	0	0	4	0	20	-52	0	0	0	9	19	0	0	0	0	0	0	0	0	0	35	-1	0	-3	0	0	0	0	0	0	0	0	-46	58	0	27	0	0	-7	0	0	0	-2	0	0	-14	1	0	-3	0	0	3	0	1	0	0	0	-22
GenusDelta_Oscillospirales_UCG_011_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
